,name,link,research_interest,ID
435,Dr Helen Fenwick,https://www.hull.ac.uk/staff-directory/helen-fenwick,"

Research interests
Helen's main research interests focus on Medieval landscapes, their development and exploitation. She completed her PhD research on landscape development and settlement evolution of the Lincolnshire Marsh in 2007. Within this theme her current research is compiling a web-based database of Deserted Medieval Settlements. She is also interested in the development of techniques to record and analyse landscapes using GPS and GIS. She is currently writing up the large-scale landscape survey of the Ancient Egyptian city of tell el-Amarna, Middle Egypt. 
Helen was the co-director of the Brodsworth Community Archaeology Project which offered training opportunities to students and the wider public at the same time as researching the landscape development of an area of eight parishes of South Yorkshire (2004-2015). She is currently investigating the Templar Perceptorary at Faxfleet, East Yorkshire.


Postgraduate supervision
Helen's primary interest is in landscape archaeology, including marginal landscapes, wetland landscapes, military landscapes, seigniorial landscapes, and landscape archaeological techniques. 
 
She would also be interested in supervising postgraduate research on teaching and learning in archaeology, including the provision of field schools, employability, and using technology as a teaching aid. 
 
Completed PhDs 
 
-  Maybury, T. 2011. A century of change on the Lindsey marshland : Marshchapel 1540-1640. University of Hull 
 
-  Hiscott, R. 2015. The permissibility of the practice of inscribing graffiti in Beverley Minster, with specific reference to the eastern side of the reredos.

",436
436,Mr Paul Dearey,https://www.hull.ac.uk/staff-directory/paul-dearey,"

Postgraduate supervision
Religion

",437
437,Professor David Starkey,https://www.hull.ac.uk/staff-directory/david-starkey,"

Research interests
- The character and significance of the interaction of human societies and the marine environment 
- The maritime interests of localities, regions and nations 
- The significance of privately sponsored violence at sea, both within the law (privateering) and beyond the law (piracy) 
- The factors that have conditioned the scale and character of sea transport since 1750 
- The impact that human fishing activity has had upon the marine environment since the Middle Ages



Project
Funder
Grant
Started
Status


Project
The Last Ice Age
Funder
Norwegian Research Council
Grant
£139,892.00
Started
1 April 2018
Status
Ongoing


Project
Lloyd's Register Foundation Thomas Chapman Scholar
Funder
Lloyd's Register Foundation
Grant
£149,999.00
Started
28 January 2019
Status
Ongoing


Project
Safety in the Trawl Fisheries and Merchant Shipping: An Appraisal of the Archives
Funder
Lloyd's Register Foundation
Grant
£10,000.00
Started
1 April 2018
Status
Ongoing



Postgraduate supervision
Professor Starkey welcomes applications in maritime themes, notably piracy, privateering and shipowning in the 18th and 19th centuries, and North Atlantic fisheries and maritime communities during the recent past. 
 
Completed PhDs  
 
- Emma Taaffe, “We suffered in silence”: An analysis of the Cause and Management of Occupational Hazards at Chatham Dockyard, 1945 to 1984 
- Robert Gear, The development of Shetland’s pelagic Fishing Industry, since 1945 
- Matthew McCarthy, A Sure Defence against the Foe?’ Maritime Predation & British Commercial Policy during the Spanish American Wars of Independence, 1810-1830 (Awarded Boydell & Brewer Prize for best Maritime History PhD Thesis, 2011) 
- Stephen Friend, A Sense of Belonging: Religion and Identity in Yorkshire and Humber Fishing Communities, c.1815-1914 
 
Current PhD supervisions  
- Claire Day, The suit and its travels: The onshore dress of the deep-sea trawlermen of Hull, 1950-1976 
- Meredith Greiling, Maritime Sculpture in Context; British Church Ship Models 
- Joe Varley, The effects of the Revolutionary and Napoleonic wars on Cork 1790-1820

",438
438,Dr Shahadat Shahadat,https://www.hull.ac.uk/staff-directory/shahadat-shahadat,"

Research interests
management accounting,  
management control,  
management auditing, 
 political discourse theory,  
corporate governance,  
discourse analysis and  
#accounting practices in developing countries


Postgraduate supervision
Dr Shahadat is interested in supervising PhD students in 
 
- management accounting control 
 
- corporate governance 
 
- post-structural theory in accounting

",439
439,Dr Julia Lawrence,https://www.hull.ac.uk/staff-directory/julia-lawrence,None,440
440,Professor Brad Gibson,https://www.hull.ac.uk/staff-directory/brad-gibson,None,441
441,Dr Laura Rorato,https://www.hull.ac.uk/staff-directory/laura-rorato,"

Postgraduate supervision
Laura welcomes applications for supervision in any area broadly relating to her research.

Completed PhDs

Dr Claudio Brancaleoni, Letteratura e contestazione. Il '68 nella letteratura italiana tra neoavanguardia e postmoderno, Bangor University (2017)

Dr Matthew Mild, The Metousiastics of Culture: European Relativism in Literature and Cinema, Bangor University (2015)

Dr Maria Cristina Seccia, Translating Caterina Edwards' The Lion's Mouth: An Example of Cultural Translation in Practice, Bangor University (2014)

Dr Gerwen Owen, The Jew as dangerous other in early Italian cinema, 1910-1914, Bangor University (2014)

Current PhD supervisions 

Martina Codicé, Literary Representations of the effect and Consequences of Neoliberalism on Contemporary Life in Italy, the UK and the US, Bangor University

",442
442,Dr Sarah Jones,https://www.hull.ac.uk/staff-directory/sarah-jones,"

Research interests
Sarah’s main research interest is in Shifting Pedagogies which can be disaggregated into four areas of focus which are interlinked and have enabled her to win external funding for international research projects. Her research investigates the way emerging technologies transform pedagogical practices and educational opportunities in different contexts, locally, nationally and internationally. Her own PhD investigated the notion of Pedagogic Shift and transformational change in international partnerships and collaborations. 
 
Research Interests: 
 
•	Global Competence 
•	Education and Community Engagement in Sub-Saharan Africa 
•	Emerging Technologies in Educational Contexts 
•	Translational Research in Education



Project
Funder
Grant
Started
Status


Project
Global Competence in Teacher Education
Funder
EC European Commission
Grant
£90,971.00
Started
1 September 2019
Status
Ongoing


Project
GCRF 2019 PPF17: Enabling scalability of the reading to learn methodology in STEM education using video observations in South African township schools
Funder
00 University of Hull
Grant
£13,089.00
Started
1 February 2019
Status
Complete


Project
Building a Research Infrastructure for School Teachers
Funder
EC European Commission
Grant
£69,589.00
Started
1 September 2019
Status
Ongoing


Project
Erasmus - International Skills Inventory and Training Programme for Global Citizens
Funder
EC European Commission
Grant
£154,616.00
Started
1 September 2015
Status
Ongoing


Project
QR - GCRF - PPF12 - Understanding the transformational potential of Community Engagement Projects within a South African educational landscape
Funder
00 University of Hull
Grant
£11,845.00
Started
1 December 2019
Status
Ongoing



Postgraduate supervision
Sarah welcomes applications associated with: 
•	Emerging Technologies in Educational Contexts 
•	Global Competence and the associated fields of Intercultural Learning 
•	Community Engagement in Sub-Saharan Africa 
•	Translational Research in Education

",443
443,Dr David Richards,https://www.hull.ac.uk/staff-directory/david-richards,None,444
444,Dr Rodney Forster,https://www.hull.ac.uk/staff-directory/rodney-forster,None,445
445,Dr Dipesh Patel,https://www.hull.ac.uk/staff-directory/dipesh-patel,"

Postgraduate supervision
Dr Patel is interested in providing supervision in

-  production of bioethanol/biodiesel

-  conversion of glycerol (biodiesel by-product) to valuable industrial products

-  synthesis of valuable products from waste acid streams

-  heterogeneously catalysed esterification reaction for different reaction systems

Current PhD Supervisions

-  Hongman Sun, as second supervisor (Sep 2016 - )

",446
446,Professor Amar Ramudhin,https://www.hull.ac.uk/staff-directory/amar-ramudhin,"

Research interests
Sustainable supply chain 
Resilience of supply chain infrastructures 
Circular supply chains  
Food sustainability and security 
Renewable energy 
Planning and management of Massively connected systems 
Digital supply chain and industry 4.0 
Blockchains 
Healthcare logistics



Project
Funder
Grant
Started
Status


Project
Socio-Economic-Environmental Impacts of Green Port Hull and the Review of the Strategies to Develop a Sustainable Renewable Industry in Hull and East Riding
Funder
ERYC East Riding of Yorkshire Council
Grant
£450,000.00
Started
1 January 2016
Status
Complete


Project
Collaborative and AdaPtive Integrated Transport Across Land and Sea
Funder
Innovate UK (use I0075A)
Grant
£419,723.00
Started
1 October 2016
Status
Complete


Project
EC-Asia Research Network on Integration of Global and Local Agri-Food Supply Chains Towards Sustainable Food Security
Funder
EC European Commission
Grant
£157,499.00
Started
1 January 2018
Status
Ongoing


",447
447,Mrs Katherine O'Connell,https://www.hull.ac.uk/staff-directory/katherine-o-connell,None,448
448,Dr Anastasia Gouseti,https://www.hull.ac.uk/staff-directory/anastasia-gouseti,"

Postgraduate supervision
I welcome PhD applications in the field of educational technologies. 
 
At the moment I am co-supervising the following PGR students: 
 
Rebecca Kelly - Mobile assisted Third Spaces (MATS): Evaluating their potential to support teaching and learning. 
 
Paula Claughton - Disruptions in the narrative: an exploration of teaching assistants’ sense of belonging in the primary school landscape.  
 
Fauwaz Alali - A Case Study of Collaborative Learning and Usage of CSCL Tools Among Foundation Year Students at Hail University in Saudi Arabia.

",449
449,Dr Mike Widdowson,https://www.hull.ac.uk/staff-directory/mike-widdowson,"

Research interests
SUMMARY 
 
Mike's focus is (i) flood basalt volcanism and its environmental effects; (ii) tropical weathering and lateritization processes. He uses a variety of analytical techniques - geochemistry (XRF, ICP and isotope studies), geochronology (Ar/Ar and Palaeomag). Fieldwork investigations are worldwide: in detail the evolution of the Deccan Traps large igneous province (LIP), and LIPs elsewhere (i.e., CRBP, BTIP, Iceland, Hawaii, Emeishan, Kalkarindji, Shatsky Rise). He is collaborating with Chinese scientists on projects documenting the development of the Himalaya and the associated floral evolution. His weathering studies have documented the fate of elements and behaviour of isotope systems during extreme alteration.


Postgraduate supervision
Mike is an established research supervisor (10 PhD students and c. 10 MSc, MRes students since 2000). These projects have resulted in >50 joint authored peer-reviewed publications. Enquiries and applications are welcomed in the following research areas: 
 
1) All areas of volcanology, in particular those related to the study of large igneous provinces, and associate environmental and/or biotic change. 
2) Geochemical and isotopic studies of deep weathering, in particular linkages between their development to environmental change  
 
 
Themes for past, present and future PhD studies include: 
 
Volcanology: 
Flood basalt volcanism 
Environmental effects of volcanic eruptions 
Interrogating the sedimentary record for LIP events 
Chemical memory of LIP eruptions 
Ancient Icelandic eruptions 
 
Deep weathering processes: 
Laterites and lateritization processes 
Behaviour of isotopic systems during deep weathering 
Evaluating weathering profiles as a paleoenvironmental proxy environment 
 
PhD supervisions (Post 2000): 
 
2019 - Current: Karen Nicholson (University of Hull) 
Funded: Internal Scholarship/self-funded. 
Volcanic Evolution at the Shatsky Rise LIP, NW Pacific Ocean 
With:  Prof. M. Elliott (University of Hull) 
 
2013-2018: Luke Faggetter (University of Leeds) 
Funded: NERC 
The First Mass Extinction: interrogating the volcano sedimentary record of the Kalkarindji Flood Basalts, Australia.  
With:  Prof. P. Wignall and Dr R. Newton (University of Leeds). 
 
2014-2018: Jonathan Moles (Open University) 
Funded: NERC 
Evolution of Tindfjallajökull volcano, Iceland. 
With: Dr D. McGarvie, Dr Sarah Sherlock (Open University) and Dr J. Stephenson (University of Edinburgh/BGS). 
 
2013-2017: Peter Nicholls (Open University) 
Funded: NERC 
Explosive eruptions from Iceland's largest volcanoes. 
With:  Dr D. McGarvie (Open University) and Dr J. Stephenson (University of Edinburgh/BGS). 
 
2006-2016: Christopher Hibbert (Birkbeck College, University of London; Part-time) 
Funded: Internal Scholarship/self-funded. 
Chemical variation in riverine fluxes, Goa, Western India: monitoring continental weathering in a monsoonal climate. 
With: Prof. K. Hudson-Edwards (Birkbeck College, University of London). 
 
2011-2015: Peter Marshall (Open University) 
Funded: Proto Resources and Open University. 
Volcanic architecture and prospectivity of the Central Kalkarindgi flood basalt province, Australia. 
With:  Prof. S.P. Kelley (Open University) and Dr D. Murphy (QUT, Australia) 
 
2005-2009: Charlotte Vye  (Open University) 
Funded: (Open University - Research Development Fund). 
Flow-field formation and compositional variation during flood basalt forming eruptions.  
With:  Prof. K.W. Burton and Prof. S. Self (Open University) 
 
2003-2006: Daniel Campanile (University of Glasgow) 
Funded: NERC 
Determining the post-break-up evolution of high elevation passive margins.  
With:  Prof. P. Bishop (Glasgow University) and Dr F.  Stuart (SUERCC, Glasgow) 
 
2002-2005: Charlotte Pearce. 
Funded: (Open University - Research Development Fund). 
Molecular fossils at the Cretaceous-Tertiary Boundary: ‘meteorite impact’ versus ‘volcanically-driven’ environmental crises. 
With:  Prof. I. Gilmour and Dr M. Sephton (Open University)

",450
450,Dr Barnaby Haran,https://www.hull.ac.uk/staff-directory/barnaby-haran,"


Project
Funder
Grant
Started
Status


Project
Representing the Scottsboro Boys: Labor Defender and the Racial Politics of Radical Photography
Funder
British Academy
Grant
£4,370.00
Started
10 June 2019
Status
Complete



Postgraduate supervision
Dr Haran welcomes applications in 
 
- American art and visual culture 
 
- histories of photography 
 
- avant-garde and documentary film 
 
- radical culture

",451
451,Dr Anna Bird,https://www.hull.ac.uk/staff-directory/anna-bird,"

Research interests
Isotope Geochemistry and Geochronology: to establish timing(s) of orogenic events at high levels of precision accuracy. Using geochronology of single mineral grains as a provenance indicator. Measuring and modeling isotopic ratios as a tracer of sediment provenance, crustal and mantle geological processes.   
 
Orogenic processes and climate: using geochemistry to evaluate the interplay between tectonics and climate on sediment deposition and provenance.

",452
452,Professor Thomas Lundmark,https://www.hull.ac.uk/staff-directory/thomas-lundmark,"

Postgraduate supervision
Professor Lundmark welcomes proposals in his areas of focus, in particular regarding folk tales (Märchen) and law. 
 
Professor Lundmark has successfully supervised 24 PhDs.

",453
453,Dr Shane Lindsay,https://www.hull.ac.uk/staff-directory/shane-lindsay,"

Research interests
I am interested in how humans think. As it turns out, language is integral to thinking. My research goal has been to understand the embedding of the language system in its broader context of a brain specialised for the goals of perception and action, rather than seeing language as an isolated modular system. This research has used behavioural measures, eye tracking and cognitive neuroscience methods, including fMRI, TMS and polysomnography.


Postgraduate supervision
Dr Lindsay welcomes applications in cognitive psychology, memory and language, cognitive neuroscience. 
At the University of Hull, we run two research masters, a MSc, and an MRes. along with a PhD programme. Please contact me if you are interested in applying. We periodically have funded PhD scholarships from the University and the ERSC, which should be advertised nationally. Self-funded PhDs are welcome.  
 
 
I am coordinator for the Research Assistantship Scheme and a supporter for undergraduate involvement in research. See here for some reasons you might be interested as an undergraduate. If you are an undergraduate who would like to join us and find out more about research, please contact me to apply. For students interested in working in the lab with me as a third year project supervisor, feel free to drop by or email to discuss any ideas for projects. 
 
 
Current PhD supervisions:  
 
 
- Andrew Lucas, ESRC Doctoral Training Pathway 
- Eloise McCann (with with the Department of Music)

",454
454,Dr Thanos Andrikopoulos,https://www.hull.ac.uk/staff-directory/thanos-andrikopoulos,"

Research interests
My research interests include: 
Financial economics 
Banking 
Alternative investments 
Financial Markets 
Industrial organization


Postgraduate supervision
I  welcome applications relating to financial markets, banking, industrial organisation and finance and alternative investments. 
Completed PhDs -  
Ahmed H, Corporate Hedging, Firm Risk, Value, and Performance: Evidence from UK Firms. 
Al Ismaili, A. Risk exposure and performance in the banking sector: a comparative investigation of Islamic, hybrid, and conventional banks.

",455
455,Dr Mona Soufian,https://www.hull.ac.uk/staff-directory/mona-soufian,None,456
456,Dr Yongqiang Cheng,https://www.hull.ac.uk/staff-directory/yongqiang-cheng,"

Research interests
digital healthcare, robotics, AI, embedded systems, WSN, networking and data science.


Postgraduate supervision
Dr Chgeng welcomes PhD applications in digital healthcare, machine learning, robotics/flying robots, AI, embedded systems, WSN, data science.

",457
457,Dr Martin Wilcox,https://www.hull.ac.uk/staff-directory/martin-wilcox,"

Postgraduate supervision
Dr Martin Wilcox welcomes enquiries from prospective postgraduate students interested in any aspect of modern British maritime history. 
 
Current PhD Supervisions  
 
-  Joe Varley, The effects of the Revolutionary and Napoleonic Wars on Cork 1790- 1830

",458
458,Mrs Rebecca Daly,https://www.hull.ac.uk/staff-directory/rebecca-daly,"

Research interests
Rebecca is interested in research relating to perioperative practice, biomedical ethics, clinical ethics and technology enhanced learning.

",459
459,Dr Briony McDonagh,https://www.hull.ac.uk/staff-directory/briony-mcdonagh,"


Project
Funder
Grant
Started
Status


Project
Experiencing the landscape: popular geographical imaginations in the English Midlands, 1450-1650
Funder
British Academy
Grant
£9,968.00
Started
1 September 2014
Status
Complete


Project
Gendering the commons
Funder
The Leverhulme Trust
Grant
£55,000.00
Started
1 January 2019
Status
Ongoing



Postgraduate supervision
Briony welcomes enquiries from potential students (PhD and Masters) wishing to work on projects on the following themes (broadly interpreted), in the UK and beyond, in periods c. 1450 onwards: 
 
- Historical geographies of landscape and environmental change, including projects on living with water and flood; country houses, gardens and parks; enclosure, improvement and agricultural change; rural and urban landscapes 
 
- Women histories and historical geographies 
 
- The geographies of protest, resistance and the law (in both historic and contemporary contexts) 
 
- Heritage issues 
 
Completed PhDs 
 
- Helen Bergin, The man, the sea and the ice. Captain William Colbeck's Antarctic story (1898-1904) 
 
- Charlotte Garside, Women in Chancery: an analysis of chancery as a women's court of redress in late 17th-century England 
 
- Kalliopi Kaparounaki, Caring children in Malawi: children's work within families affected by illness and disability 
 
- Sarah Shields, Maid, wife, widow: women's life-course and property ownership, 1550-1800 
 
- Jazmin Scarlett (passed subject to corrections) The development of co-volcanic societies: the reciprocal relationships between the volcano La Soufrière and the society of St. Vincent, Lesser Antilles, 1718-1979 
 
- Lizzie Rogers (passed subject to corrections) Women and the World: Explorers from the Home during the Enlightenment in Britain 
 
Current PhD supervisions 
 
- Helen Manning, Women, property and the law: mapping sexual inequality in the East Riding of Yorkshire, 1708-1974 
 
- Stormm Buxton-Hill, The impact of women on family dynastic ambitions and legal change in England, 1550-1800 
 
- Ruth Quinn, Agricultural heritage of Saltaire 
 
- Catherine Goddard, Heritage interpretation and visitor experience at historic homes in the East Midlands, with a focus on women's history 
 
- Alice Whiteoak, Walking the world: Emotions, place and memory in English court records, 1400-1800

",460
460,Dr Jamie Dodd,https://www.hull.ac.uk/staff-directory/jamie-dodd,None,461
461,Dr Luke Jones Jonzon,https://www.hull.ac.uk/staff-directory/luke-jones-jonzon,None,462
462,Dr Jean-Sebastien Bouillard,https://www.hull.ac.uk/staff-directory/jean-sebastien-bouillard,"

Postgraduate supervision
PhD applications in areas overlapping with Jean-Sebastien's areas of focus are welcome. 
 
Current PhD supervisions 
 
-  Francesco Viscomi, Controlling light matter interactions at the nanoscale using plasmonic systems, Departmental studentship, started June 2015, Dr. J-S. Bouillard (Primary Supervisor) and Dr Ali Adawi (Second Supervisor) 
 
-  Charlotte Eling, Active nanoscale control of light matter interactions using chemical rulers for cancer diagnostics, University scholarship, started October 2015, Dr. J-S. Bouillard (Primary Supervisor), Graeme Stasiuk (Second Supervisor) and Dr Ali Adawi (Second Supervisor) 
 
-  Peter Robinson, Directed self-assembly for Metamaterials, Physics and Devices: Geometries for Nanophotonic Applications, University of Hull research cluster, start October 2016, Bouillard (Primary Supervisor) and Dr Ali Adawi (Second Supervisor), Professor Georg Mehl (Second Supervisor), Dr. Jia Min Chin (Second Supervisor), Dr. Michael R. Reithofer (Second Supervisor)

",463
463,Dr Kevin Pimbblet,https://www.hull.ac.uk/staff-directory/kevin-pimbblet,"

Research interests
Primary areas 
 
- Galaxy evolution, formation, and environment over cosmologically significant timescales 
 
- Stellar populations inside galaxies and their response to their physical environment 
 
- Clusters and superclusters of galaxies, their kinematics, constituents, and growth 
 
- Star formation in galaxies, and active galactic nuclei 
 
- Brightest cluster galaxies (cD galaxies), and dwarf galaxies 
 
- Filaments of galaxies that stretch between galaxy clusters, voids, large-scale structure, and topology 
 
- Large, wide-field, and deep redshift surveys of the sky 
 
Other areas 
 
- Astronomical image processing, automated classification, machine learning 
 
- Virtual observatory, and catalogue matching and handling 
 
- Astrophysics and physics education 
 
- Dark energy, and the standard model of cosmology 
 
- Random number generation, statistics, statistical methods, game theory


Postgraduate supervision
Observational astronomy and astrophysics, with a particular focus on galaxies, galaxy evolution, galaxy formation, stellar populations of galaxies, AGN, galaxy clusters, and large-scale structure of the Universe. 
 
Completed PhDs 
 
- Charlotte Wilkinson (2015-2019) 
 
- Yjan Gordon (2015-2018) 
 
- Amelia Fraser-McKelvie (2013-2017) 
 
- Jacob Crossett (2012-2017) 
 
- Dane Kleiner (2012-2017) 
 
- Nic Bonne (2011-2015) 
 
- David Palamara (2010-2015) 
 
- Tim Dolley (2010-2015) 
 
- Richard Beare (2010-2014) 
 
- Brendan Griffen (2008-2009) 
 
- Russell Jurek (2005-2009) 
 
- Peter Firth (2005-2008) 
 
- Isaac Roseboom (2004-2007) 
 
Current PhD supervisions  
 
- Mikkel Kristensen 
 
- Mikkel Lindholmer 
 
- Lawrence Bilton 
 
- Oliver Bartlett

",464
464,Miss Shelley Hindley,https://www.hull.ac.uk/staff-directory/shelley-hindley,None,465
465,Dr Dionysios Demetis,https://www.hull.ac.uk/staff-directory/dionysios-demetis,"

Postgraduate supervision
Dr Demetis welcomes applications in

-  Anti-money laundering

-  Information systems (including cybersecurity from a social science perspective)

Current PhD supervisions

-  Mohammad Al Shammari

-  Nadia K. Samara

-  Noemi Tambe

",466
466,Dr Christina Roggatz,https://www.hull.ac.uk/staff-directory/christina-roggatz,None,467
467,Dr Vicky Skoulou,https://www.hull.ac.uk/staff-directory/vicky-skoulou,"

Research interests
-Biomass waste /Waste characterisation, pretreatment and alternative ways of exploitation. 
-Thermochemical treatments (carbonization-torrefaction-pyrolysis-gasification-combustion) of food-woody biomass wasate, fossil fuels and other waste for bioenergy-biofuels, biochar production. 
-Bioenergy/solid-gaseous biofuels systems design / re purposing of  existing technologies to adapt new types of waste to fuels/feed stock  
-Advanced cycles and alternative processes for biomass, fossil fuels and waste exploitation for biofuels-bioenergy-biochars under the circular economy scenario. 
-Combined Renewable Energy Sources (RES) energy production systems, emphasized in lignocellulosic biomass/other waste sources for net zero carbon decentralized solutions. 
-2nd, 3rd  and 4th Generation Feedstock for Biofuels production 
-Biorefineries/Waste-Refineries and integration of thermochemical and biochemical processing routes of biomass/waste


Postgraduate supervision
I am  interested in providing supervision in the following fields and  welcome applications from potential self-funded PhD students interested in the following areas:  
 
-Biomass waste /Waste characterisation, pre-treatment and alternative ways of exploitation. 
-Thermochemical treatments of food-forest waste, lignocellulosic biomass residues, fossil fuels and other waste for bioenergy-biofuels, biochar production. 
-Bioenergy/biofuels systems design / re purposing of  existing technologies  to adapt to new types of fuels/feed stock  
-Advanced cycles and alternative processes for biomass, fossil fuels and waste exploitation for biofuels-bioenergy-biochars under the circular economy scenario. 
-Combined Renewable Energy Sources (RES) energy production systems, emphasized in biomass/waste sources. 
-2nd, 3rd  and 4th Generation Feedstock for solid. liquid and gaseous Biofuels production 
- Biorefineries/Waste-Refineries and integration of thermochemical and biochemical processing routes of biomass waste 
 
 
 
Core current and previous members of the B3 Challenge Group: 
 
Post Doc Research Assistants: (PDRAs) 
-Dr Martin J. Taylor 
 
 Current PhD Candidates Supervisions : 
- Hassan Alabrdrabalameer (First  Supervisor) 
 
Current PoC Research Technicians: 
-Mr Karl Hornsby  
 
Completed PhD  Supervisions :  
-Dr J. Vourdoubas  (First Supervisor) 
 
Completed MSc by Research Supervisions:  
-Elem Eni (First Supervisor)

",468
468,Dr Jo Byrne,https://www.hull.ac.uk/staff-directory/jo-byrne,"

Research interests
Maritime History 
Fisheries History 
Port-City Cultures 
Oral History 
Memory and Place 
Heritage Theory 
Community Heritage

",469
469,Dr Manuel Hernandez-Perez,https://www.hull.ac.uk/staff-directory/manuel-hernandez-perez,"

Research interests
Media and psychology 
Narrative theory 
Transmedia products 
Cross-cultural readings 
Video games and Narrative


Postgraduate supervision
Media and psychology 
Narrative theory 
Transmedia products 
Cross-cultural readings 
Video games and Narrative

",470
470,Dr Felix Why,https://www.hull.ac.uk/staff-directory/felix-why,None,471
471,Dr Kim Dent-Brown,https://www.hull.ac.uk/staff-directory/kim-dent-brown,"

Postgraduate supervision
Dr Dent-Brown welcomes applications in

-  Mental health

-  The arts in health

-  Psychotherapy and counselling

-  Psychological services evaluation

-  Military mental health

-  Please see areas of focus and completed PhDs for further ideas

Completed PhDs

-  Lizzie Taylor Buck (Sheffield, 2009). A dyadic parent-child approach to art therapy

-  David Neto (Sheffield/Lisbon, 2011). Development and validation of a system of assimilation indices: A mixed method approach to understand change in psychotherapy

Current PhD supervisions

-  Elise Lawrence (PsyD submitted). Stress management; a proposed framework drawn from current models of performance appraisal and in response to legislation regarding responsibility of employees and employers.

-  Katie Oxtoby (PhD started 2014). How do patients and their significant others experience their relationship in response to a diagnosis of Chronic Fatigue Syndrome/Myalgic Encephalomyelitis?

-  Sophie Brown (PhD started 2017). An evaluation of the psychosocial impact of a new therapeutic framework (Collaborative Assessment and Management of Suicidality - CAMS)

",472
472,Dr Angela Poat,https://www.hull.ac.uk/staff-directory/angela-poat,None,473
473,Mrs Carol Rubini,https://www.hull.ac.uk/staff-directory/carol-rubini,None,474
474,Dr Sam Perry,https://www.hull.ac.uk/staff-directory/sam-perry,"

Postgraduate supervision
Dr Perry would welcome PhD applications in any of his principal areas of research.

Completed PhDs

- James Underwood, Philip Larkin (2015)

",475
475,Dr Christopher Sanderson,https://www.hull.ac.uk/staff-directory/christopher-sanderson,None,476
476,Dr Amangeldi Kenjegaliev,https://www.hull.ac.uk/staff-directory/amangeldi-kenjegaliev,"

Research interests
International Finance, Exchange rates, Time varying coefficient regression, Econometrics, Macroeconomics.

",477
477,Dr Fernando Correia,https://www.hull.ac.uk/staff-directory/fernando-correia,"

Postgraduate supervision
Dr Correia welcomes applications in the areas of business management and sustainability, corporate responsibility, sustainable tourism, ecosystem services, low carbon procurement and supply chain management, and others that require systems thinking approaches for sustainability problems. 
 
Completed PhDs  
 
- Mettanont W, The Study of Viability and the Management of Knowledge in Community Enterprises in Thailand, University of Hull (2016) 
 
Current PhD supervisions  
 
- Yvonne Black, Understanding the Outcomes of Nature-based Interventions for Health and Wellbeing: Case Studies from the City of Hull 
 
- Francesca Moore, Resilient Farming in a Changing World: Investigating Farmer Agency, Farming Styles and Socio-Governance Set-Ups in the Take-Up of Regenerative Farming Practices in the UK 
 
- David Ross, Creative Tourism as a Means to Enhance Archaeological Heritage 
 
- Ovalia Rukmana, Using Transformative Learning to Respond to Palm Oil Issues: A Study across Business Schools in Indonesia 
 
- David McNeil, Valuing Ecosystem Services in the Isles of Scilly: Towards Benefits Realisation (co-supervision of student at European Centre for Environment and Human Health, University of Exeter)

",478
